127.0.0.1, 2018-04-10 02:58:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-04-10 02:58:48, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-10 02:58:48, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-10 02:58:48, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/default/index, HTTP/1.1, 200, 0.748000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-04-10 02:58:53, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-10 02:58:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-10 02:58:54, POST, /admin/default/index, HTTP/1.1, 303, 0.024000
127.0.0.1, 2018-04-10 02:58:54, GET, /admin/default/site, HTTP/1.1, 200, 0.109000
127.0.0.1, 2018-04-10 02:58:54, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-10 02:58:54, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-10 02:58:55, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.084000
127.0.0.1, 2018-04-10 02:58:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-10 02:58:55, POST, /admin/default/check_version, HTTP/1.1, 200, 0.238000
